Gene name	Mouse gene name
SERBP1P2	
TSPY12P	
DUX4L19	
TTTY12	
	
OFD1P3Y	
RBMY2HP	
	
TTTY6	
ELOCP35	
SLC9B1P1	
USP12PY	
KDM5DP1	
LINC00279	
DUX4L17	
PRY	
	
	
HSFY7P	
	
	
ZNF736P6Y	
TUSC2P1	
RNU5B-4P	
RBMY2AP	
ECSCR	
PUDPP1	
	
CDRT15P10	
USP9Y	Usp9y
SMIM33	
STING1	
	
NCOA4P4	
PRY2	
	
OFD1P8Y	
RNF19BPY	
	
TSPY23P	
TUBB1P2	
	
ACTR3BP1	
RPS24P1	
RCC2P2	
ZNF736P8Y	
EIF1AY	
BPY2	
MTND1P12	
STSP1	
CTBP2P1	
MTND6P1	
PABPC1P5	
TSPY22P	
RCC2P1	
SHROOM2P1	
	
TTTY18	
	
	
DUX4L18	
	
ZNF736P11Y	
OFD1P9Y	
BPY2DP	
RBMY2JP	
CHEK2P1	
RBMY2UP	
FAM224B	
ZNF886P	
ELOCP8	
OFD1P16Y	
TTTY25P	
	
	
ASS1P6	
SNX18P1Y	
	
MED14P1	
HSFY5P	
ZNF885P	
ARSFP1	
	
ZNF736P7Y	
SURF6P1	
XGY1	
	
	
ANKRD20A6P	
	
RBMY2KP	
TSPY21P	
TTTY19	
TTTY4	
	
MXRA5Y	
DUX4L16	
MTCYBP1	
	
USP9YP17	
TTTY17A	
AGPAT5P1	
	
FAM41AY1	
TTTY6B	
ELOCP15	
	
TRIM60P3Y	
MTND1P1	
	
PRRC2CP1	
ZNF736P10Y	
	
CDY12P	
	
MTND2P3	
CDY13P	
RBMY1KP	
	
	
	
	
	
ARSDP1	
TTTY5	
CDY4P	
	
RBMY1D	Rbmyf6
RBMY1D	Rbmyf1
RBMY1D	Rbmyf8
RBMY1D	Rbmyf5
RBMY1D	Rbmyf2
RBMY1D	Rbmyf7
RBMY1D	Rbmyf9
RBMY1D	Rbmyf3
RBMY1D	Rbmyf4
RBMY1D	Rbmy
RBMY2WP	
USP9YP24	
	
TTTY10	
UBE2V1P3	
FAM8A4P	
	
	
TRIM60P8Y	
MED13P1	
CYCSP46	
RNU6-303P	
	Snora20
	Gm24615
RN7SL702P	
RNA5SP520	
RNA5SP521	
	
RNU6-109P	
RNU6-184P	
HSFY2	Hsfy2
GPM6BP2	
USP9YP2	
ELOCP14	
PRYP6	
XKRYP2	
USP9YP10	
USP9YP28	
RNU1-41P	
OFD1P7Y	
MTCYBP2	
ZNF839P1	
CD24P4	
RNU6-255P	
	
GAPDHP19	
CLUHP1	
TAF9P1	
	
CDY5P	
ELOCP36	
PRYP1	
ACTG1P2	
USP9YP23	
USP9YP27	
RNU1-128P	
TRAPPC2P3	
OFD1P1Y	
ELOCP6	
CDY6P	
USP9YP7	
USP9YP6	
CDY7P	
USP9YP34	
USP9YP32	
CDY8P	
ELOCP12	
TRAPPC2P8	
USP9YP15	
RNU1-95P	
USP9YP16	
ACTG1P11	
PRYP2	
ELOCP26	
CDY9P	
TAF9P2	
CLUHP2	
FAM224A	
	
RNA5SP522	
RNA5SP523	
TUBB1P1	
ELOCP13	
OFD1P4Y	
USP9YP14	
RNU1-48P	
USP9YP5	
	
XKRYP1	
PRYP5	
ELOCP7	
USP9YP1	
GPM6BP1	
TTTY9B	
RAB9AP4	
TRAPPC2P7	
TTTY14	
	
	
	
KDM5D	Kdm5d
HSFY1	Hsfy2
TGIF2LY	Tgif2lx2
TGIF2LY	Tgif2lx1
RBMY1F	Rbmyf6
RBMY1F	Rbmyf1
RBMY1F	Rbmyf8
RBMY1F	Rbmyf5
RBMY1F	Rbmyf2
RBMY1F	Rbmyf7
RBMY1F	Rbmyf9
RBMY1F	Rbmyf3
RBMY1F	Rbmyf4
RBMY1F	Rbmy
CDY2A	
ZNF736P3Y	
TRIM60P9Y	
RN7SKP282	
Y_RNA	
RNU6-941P	
RNU6-521P	
SRIP3	
	
GOT2P5	
ATP5PFP1	
	
TRIM60P10Y	
ZNF736P2Y	
TRIM60P11Y	
	
ZNF736P1Y	
	
ZNF736P5Y	
BPY2C	
TTTY4C	
DAZ4	
CDY2B	
RNU6-1334P	
SRY	Sry
RNASEH2CP1	
TOMM22P2	
	
RPS4Y1	
NAP1L1P2	
	
ZFY	
ZFY-AS1	
EEF1A1P41	
PSMA6P1	
SFPQP1	
DPPA2P1	
DDX3Y	Ddx3y
C1R	
CASKP1	
UTY	Uty
C1RL	
C1RL-AS1	
RBP5	
RNU6-485P	
	
CLSTN3	
	
	
PEX5	
TMSB4Y	
VCY	
DAZ3	
DAZ1	
PPP1R12BP2	
SNORA70	Gm22362
	
REREP1Y	
	
	
AMELY	
TBL1Y	Tbl1x
	
GPR143YP	
DAZ2	
AGKP1	
NLGN4Y-AS1	
RBMY1E	Rbmyf6
RBMY1E	Rbmyf1
RBMY1E	Rbmyf8
RBMY1E	Rbmyf5
RBMY1E	Rbmyf2
RBMY1E	Rbmyf7
RBMY1E	Rbmyf9
RBMY1E	Rbmyf3
RBMY1E	Rbmyf4
RBMY1E	Rbmy
NLGN4Y	
	
	
	
Y_RNA	
LINC00278	
CDY22P	
ELOCP17	
OFD1P18Y	
TRAPPC2P4	
RAB9AP3	
USP9YP20	
RNU1-40P	
USP9YP21	
XKRYP6	
PRYP4	
ELOCP11	
CDY23P	
USP9YP26	
HSFY8P	
OFD1P15Y	
REREP2Y	
	
	
SNORA70	Gm22362
PPP1R12BP1	
RNU6-1314P	Gm25670
CYCSP48	
ANKRD36P1	
	
VCY1B	
PNPLA4P1	
	
OFD1P2Y	
OFD1P5Y	
	
TBL1YP1	
RPS4Y2	
HSFY4P	
	
GAPDHP17	
TMEM167AP1	
	
TOMM22P1	
	
NEFLP1	
	
PRORY	
	
	
RBMY2TP	
TSPY14P	
RBMY1HP	
	
	
TTTY13	
ELOCP5	
CDY10P	
USP9YP3	
USP9YP8	
CDY11P	
HSFY6P	
USP9YP18	
CDY14P	
ELOCP16	
XKRYP3	
USP9YP25	
USP9YP29	
RNU1-97P	
RAB9AP1	
TRAPPC2P9	
OFD1P11Y	
PRYP3	
	
RNU2-57P	
VDAC1P6	
EIF4A1P2	
KRT18P10	
SNX3P1Y	
RPL26P37	
PCDH11Y	Pcdh11x
OFD1P10Y	
ELOCP9	
CDY15P	
XKRYP4	
USP9YP13	
USP9YP11	
TTTY3B	
USP9YP12	
RNU1-86P	
RAB9AP5	
TRAPPC2P10	
OFD1P12Y	
ELOCP10	
CDY1B	
CDY17P	
USP9YP35	
USP9YP31	
CDY18P	
	
GOLGA6L11P	
DNM1P24	
	
CSPG4P2Y	
CSPG4P3Y	
	
RN7SL818P	
UBE2Q2P4Y	
LINC00265-2P	
CICP2	
SEPTIN14P22	
	
RBMY2XP	
TTTY17B	
TRIM60P5Y	
ZNF736P12Y	
TTTY4B	
BPY2B	
	
ZNF736P4Y	
	
TTTY17C	
RBMY2YP	
	
CICP1	
LINC00265-3P	
UBE2Q2P5Y	
GOLGA2P3Y	
RN7SL725P	
	
CSPG4P4Y	
CSPG4P1Y	
DNM1P48	
	
GOLGA6L16P	
	
CDY19P	
USP9YP36	
USP9YP33	
CDY20P	
ELOCP34	
OFD1P13Y	
TRAPPC2P5	
RAB9AP2	
USP9YP30	
RNU1-107P	
TTTY3	
USP9YP9	
USP9YP19	
XKRYP5	
TPTE2P4	
CYCSP49	
SLC25A15P1	
PARP4P1	
CCNQP2	
CDY1	
RBMY1J	Rbmyf6
RBMY1J	Rbmyf1
RBMY1J	Rbmyf8
RBMY1J	Rbmyf5
RBMY1J	Rbmyf2
RBMY1J	Rbmyf7
RBMY1J	Rbmyf9
RBMY1J	Rbmyf3
RBMY1J	Rbmyf4
RBMY1J	Rbmy
	
RBMY1B	Rbmyf6
RBMY1B	Rbmyf1
RBMY1B	Rbmyf8
RBMY1B	Rbmyf5
RBMY1B	Rbmyf2
RBMY1B	Rbmyf7
RBMY1B	Rbmyf9
RBMY1B	Rbmyf3
RBMY1B	Rbmyf4
RBMY1B	Rbmy
RBMY1A1	Rbmyf6
RBMY1A1	Rbmyf1
RBMY1A1	Rbmyf8
RBMY1A1	Rbmyf5
RBMY1A1	Rbmyf2
RBMY1A1	Rbmyf7
RBMY1A1	Rbmyf9
RBMY1A1	Rbmyf3
RBMY1A1	Rbmyf4
RBMY1A1	Rbmy
RFTN1P1	
TTTY16	
RBMY2FP	
RBMY2FP	
	
	
RBMY2BP	
	
TTTY11	
TTTY11	
ARSLP1	
	
OFD1P6Y	
TTTY9A	
XKRY	
XKRY	
XKRYP7	
	
	
XGY2	
HSFY3P	
	
TAB3P1	
	
ANOS2P	
	
RBMY2EP	
	
GOLGA2P2Y	
GOLGA2P2Y	
	
	
TXLNGY	
TXLNGY	
GYG2P1	
	
CDY3P	
USP9YP22	
USP9YP4	
ELOCP4	
RBMY1A3P	
	
TTTY20	
TSPY4	
FAM197Y7	
	
TSPY7P	
FAM197Y6	
	
TSPY8	
TSPY3	
OR4C12	
RBMY2CP	
OR4C48P	
OR4C49P	
OR4C45	
	
RBMY2DP	
	
ZNF736P9Y	
	
FAM197Y8	
PRKY	
PRKY	
SEPTIN14P23	
XKRYP7	
FAM41AY2	
BCORP1	
BCORP1	
FAM197Y8	
FAM197Y5	
FAM197Y5	
TSPY1	
FAM197Y4	
FAM197Y4	
TSPY9	
FAM197Y3	
FAM197Y3	
TSPY6P	
	
FAM197Y2	
TSPY10	
FAM197Y1	
TSPY15P	
RBMY3AP	
TSPY25P	
TSPY16P	
	
TTTY8	
TTTY7B	
TTTY2	
TTTY1	
TTTY22	
	
RBMY2NP	
	
TSPY18P	
TSPY13P	
TTTY23	
RBMY2OP	
	
RBMY2QP	
TSPY20P	
	
TSPY5P	
	
RNA5SP518	
RNA5SP519	
DUX4L31	
PCMTD1P1	
CDC27P2	
	
RNA5-8SP6	
DLGAP5P1	
TTTY23B	
TTTY23B	
TSPY2	
FAM197Y9	
FAM197Y9	
TSPY11P	
	
TSPY19P	
	
RBMY2GP	
LINC00280	
TTTY1B	
TTTY2B	
TTTY7	
TTTY8B	
	
TSPY17P	
SERTAD4-AS1	
SERTAD4	
ST13P19	
	
FRG2	
HHAT	
FRG1	
MLLT10P2	
	
TUBB7P	
RNA5SP174	
RNA5SP175	
DUX4L9	
RARRES2P4	
	
	
	
	
	
	
	
	
	
	
	
RPL23AP84	
	
DUX4L8	
DUX4	
	
RNU5A-8P	
	
BPNT2P1	
OBP2B	
LCN1P1	
Y_RNA	
LCN1P2	
SURF6	
Y_RNA	
MED22	
RPL21P81	
RPL7A	
SNORD24	
SNORD36B	
SNORD36A	
	
SNORD36C	
SURF1	
	
	
CYCSP41	
	
SURF2	
	
OR4K11P	
	
	
	
SURF4	
SOWAHCP2	
	
	
LINC03104	
	
	
CTBP2P10	
C21orf91-OT1	
RBPMSLP	
SREK1IP1P1	
CDRT15P8	
MIR548XHG	
FDPSP6	
RPL39P40	
	
STKLD1	
	
NEK4P1	
	
	
	
PPIAP22	
SLC6A6P1	
CTBP2P9	
	
	
REXO4	
CHODL-AS1	
D21S2088E	
TUBAP1	
	
	
TMPRSS15	Tmprss15
ADAMTS13	
VN1R7P	
ZNF299P	
	
	
SNX19P1	
	
	
LINC03105	
SLC25A15P4	
	
GPX1P2	
	
	
	
CXADR	Gm1123
IGHV1OR21-1	Ighv15-2
IGHV1OR21-1	Ighv1-71
IGHV1OR21-1	Ighv14-4
IGHV1OR21-1	Ighv1-43
IGHV1OR21-1	Ighv1-59
IGHV1OR21-1	Ighv1-49
IGHV1OR21-1	Ighv14-2
IGHV1OR21-1	Ighv1-80
IGHV1OR21-1	Ighv1-69
IGHV1OR21-1	Ighv1-20
IGHV1OR21-1	Ighv1-47
IGHV1OR21-1	Ighv1-37
IGHV1OR21-1	Ighv1-53
IGHV1OR21-1	Ighv1-19
IGHV1OR21-1	Ighv1-78
IGHV1OR21-1	Ighv1-54
IGHV1OR21-1	Ighv1-15
IGHV1OR21-1	Ighv1-62-3
IGHV1OR21-1	Ighv1-56
IGHV1OR21-1	Ighv1-50
IGHV1OR21-1	Ighv1-7
IGHV1OR21-1	Ighv1-31
IGHV1OR21-1	Ighv1-12
IGHV1OR21-1	Ighv1-81
IGHV1OR21-1	Ighv1-24
IGHV1OR21-1	Ighv1-16
IGHV1OR21-1	Ighv1-85
IGHV1OR21-1	Ighv1-36
IGHV1OR21-1	Ighv1-9
IGHV1OR21-1	Ighv1-11
IGHV1OR21-1	Ighv1-74
IGHV1OR21-1	Ighv1-52
IGHV1OR21-1	Ighv1-23
IGHV1OR21-1	Ighv1-55
IGHV1OR21-1	Ighv1-77
IGHV1OR21-1	Ighv1-62-2
IGHV1OR21-1	Ighv1-63
IGHV1OR21-1	Ighv1-34
IGHV1OR21-1	Ighv1-42
IGHV1OR21-1	Ighv1-62-1
IGHV1OR21-1	Ighv1-61
IGHV1OR21-1	Ighv14-3
IGHV1OR21-1	Ighv1-67
IGHV1OR21-1	Ighv1-76
IGHV1OR21-1	Ighv1-82
IGHV1OR21-1	Ighv14-1
IGHV1OR21-1	Ighv1-22
IGHV1OR21-1	Ighv1-26
IGHV1OR21-1	Ighv1-18
IGHV1OR21-1	Ighv1-58
IGHV1OR21-1	Ighv1-39
IGHV1OR21-1	Ighv1-66
IGHV1OR21-1	Ighv1-75
IGHV1OR21-1	Ighv1-4
IGHV1OR21-1	Ighv1-84
IGHV1OR21-1	Ighv1-64
IGHV1OR21-1	Ighv1-5
IGHV1OR21-1	Ighv1-72
	
HSPD1P7	
	
LINC01687	
MSANTD2P1	
	
C1QBPP1	
	
	
RPL10P1	
LINC00317	
	
	
	
	
	
LINC00161	
LINC01697	
LINC01689	
	
	
	
	
	
KRT18P2	
	
	
	
URB1	Urb1
CACFD1	
SLC2A6	
	
KRTAP25-1	
SNX18P10	
	
RPSAP68	
JAM2	Jam2
ABO	
	
	
EEF1A1P1	
LINC01683	
	
	
	
	
	
	
RPL8P2	
	
LINC02573	
LINC01692	
	
CLDN17	Cldn17
CYYR1	Cyyr1
BTF3L4P1	
	
MRPS6	Mrps6
	
	
RPL37P3	
THUMPD1P1	
	
LINC00189	
PPIAP1	
	
LLPHP2	
LINC01673	
KRTAP24-1	Krtap24-1
	
SLC5A3	Slc5a3
NCSTNP1	
MTCO1P1	
CHAF1B	Chaf1b
LINC01695	
	
LINC01425	
	
RPS3AP1	
SCAF4	Scaf4
EIF4A1P1	
LINC00307	
	
NCAM2	Ncam2
	
	
RNGTTP1	
	
OR4K12P	
RPL37P4	
APP-DT	
	
	
	
RPSAP64	
ATP5MFP1	
TPT1P1	
RPS5P2	
LINC01423	
LINC01549	
	
	
CLDN8	Cldn8
	
	
C21orf140	Fam243
LINC02943	
	
	
	
	
LINC00113	
PSMD4P1	
HUNK-AS1	
	
	
	
	
HUNK	Hunk
EIF3FP1	
C21orf91	D16Ertd472e
LNCTSI	
LINC00308	
SNX18P12	
MORC3	Morc3
TNK1	
PLSCR3	
PAXBP1	Paxbp1
LINC00349	
MIPEP	Mipep
LSP1P1	
ZNF962P	
	
TMEM256-PLSCR3	
LINC00297	
KATNAL1	Katnal1
TMEM256	
NLGN2	
	
LINC00365	
SPEM1	
RPL17P51	
SPEM2	
HSPD1P9	
GGT4P	
SPEM3	
	
C1QTNF9-AS1	
TMEM102	
UBE2L5	
	
LINC00384	
FGF11	
MTCO3P2	
	
LINC00572	
	
	
NIPA2P3	
C21orf62	4932438H23Rik
RPS20P32	
FABP3P2	
MTUS2-AS1	
KPNA3	Kpna3
	
	
	
CHRNB1	
	
	
RPL23AP12	
	
LINC00159	
	
	
	
ZBTB4	
ITSN1	Itsn1
CRYL1	Cryl1
SLC35G6	
POLR2A	
LINC00562	
	
RPS21P8	
LINC00332	
	
CAB39L	Cab39l
	
RGS17P1	
CHCHD2P11	
LINC02334	
TIMM9P3	
IGSF3P1	
LINC00457	
RAD17P2	
PRDX2P1	
LINC00385	
DNAJC15	Dnajc15
GPR12	Gpr12
MTUS2-AS2	
LINC02343	
	
ZNF646P1	
	
RPP40P2	
GAMTP2	
WASF3	Wasf3
RNU6-1004P	
ORAI1	
LINC00366	
	
	
POSTN	Postn
	
RPSAP28	
ALMS1-IT1	
	
NAT8	
TPRKB	
	
	
DUSP11	
C2orf78	
NAT8B	
ALMS1P1	
ALMS1P1	
GNG5P5	
FNDC3A	Fndc3a
	
	
RPL21P63	
GCNT2P1	
	
C6orf52	
Y_RNA	
PAK1IP1	
TMEM14C	
	
FHP1	
	
	
FREM2-AS1	
LHFPL6	Lhfpl6
POLR3KP1	
	
	
SLC25A5P4	
GCNT2	
LINC00378	
	
SPATA13-AS1	
	
PRDX3P3	
PRR20FP	
RPSAP53	
	
DNAJA1P1	
LINC01065	
DIAPH3-AS1	
ELL2P3	
BCRP9	
AKAP11	Akap11
MZT1	Mzt1
	
LINC00374	
PROSER1	Proser1
RPL37P21	
	
COX7CP1	
ERICH6B	Erich6b
CLDN14	Cldn14
LINC00547	
RPL13AP25	
	
	
	
	
MARK2P12	
	
	
	
PIBF1	Pibf1
ATP5PO	Atp5po
FABP5P1	
	
BORA	Bora
	
LINC01700	
FDX1P2	
CHODL	Chodl
	
LINC00393	
	
LINC00310	
KLHL1	Klhl1
	
	
CDRT15P9	
LINC00314	
	
S100B	S100b
LINC01666	
LINC00437	
LINC01442	
BACH1	Bach1
NAP1L4P3	
	
HNF4GP1	
RPL12P34	
PCDH9-AS4	
	
HMGN2P39	
LINC00364	
PLA2G12AP2	
ZDHHC20P4	
LINC00550	
PCDH9-AS2	
ELF1	Elf1
	
CYYR1-AS1	
DPPA2P2	
	
	
RPS6KA1	
SPATA20P1	
	
	
	
	
	
	
CLDN14-AS1	
	
PSMA6P3	
	
SCEL	Scel
SAMSN1-AS1	
LINC00114	
ETS2	Ets2
MIR1976	
RN7SL679P	
Y_RNA	
RNU7-29P	
	
	
	
	
DSTNP1	
RPL23AP4	
KCNJ15	Kcnj15
COX4I1P2	
	
	
FGFR1OP2P1	
NPM1P22	
NIPA2P5	
	
PWWP2AP1	
	
RPL31P53	
	
RPL18AP17	
MAPK6P2	
	
ZNF355P	
	
SPATA2P1	
HSPD1P8	
CRYZL1	Cryzl1
	
RPL21P111	
MTCL1P1	
FREM2	Frem2
LINC00331	
CTAGE11P	
PRR20B	
HNRNPA1P18	
TBC1D4	Tbc1d4
	
	
TRIM51FP	
GRM5P1	
GRM5P1	
BNIP3P43	
N6AMT1	N6amt1
VDAC1P12	
	
RPS3AP52	
CTAGE16P	
UBBP5	
LINC00333	
PRR20D	
	
	
	
SPRY2	Spry2
	
FGF7P2	
	
ANKRD30BP1	
VN1R8P	
GTF2IP2	
PRR20E	
	
LINC01674	
UFM1	Ufm1
	
	
	
	
ADAMTS5	Adamts5
SNRPGP13	
LINC01670	
Y_RNA	
5_8S_rRNA	
MIR3648-2	
	
MIR6724-2	
Y_RNA	
MIR6724-3	
	
RNA5-8SN3	
MIR6724-4	
	
RNA5-8SN1	
Y_RNA	
MIR6724-1	
U1	
	
MIR3648-1	
OR7E33P	
	
RNA5-8SN2	
SNORA70	Gm22422
SNORA70	Gm25979
SNORA70	Gm26368
SNORA70	Gm24992
SNORA70	Gm23996
SNORA70	Gm25862
SNORA70	Gm23902
SNORA70	Gm25456
SNORA70	Gm22915
SNORA70	Gm23995
SNORA70	Gm22603
SNORA70	Gm22163
MTND4P1	
MIR3118-1	
Y_RNA	
MTCO2P3	
	
RNU6-286P	
	
RN7SL52P	
OR7E111P	
RNU6-113P	Gm25598
Y_RNA	
	
Y_RNA	
RN7SKP147	
RNU6-772P	Gm24875
RNU2-55P	
KLF5	Klf5
RNU1-139P	
RNU4-45P	
MIR3156-3	
Y_RNA	
RN7SKP236	
RN7SL163P	
MIR155	Mir155
MIR6130	
RNA5SP489	
MIR4759	
MIR548X	
RNU6-614P	
U6	
RN7SL740P	Gm24514
SNORA62	
SNORA80A	Gm26205
	
	
	
C2CD2	C2cd2
RBM26-AS1	
	
RPL31P54	
CBY2	Cby2
CTBP2P1	
UBE2D3P4	
WASF3-AS1	
LINC00377	
BCAS2P3	
RABEPKP1	
PCDH9-AS3	
UBAC2	Ubac2
ZBTB21	Zbtb21
UMODL1-AS1	
RFC3	Rfc3
ZNF295-AS1	
LINC00160	
	
RPL34P3	
EZH2P1	
	
MIR802	
RPS20P1	
PPP1R2P2	
RPL23AP3	
RIMKLBP1	
RNU6-992P	Gm24851
CBR1	Cbr1
CBR1	Cbr1b
	
MEMO1P1	
RPS9P1	
CBR3	Cbr3
RPL3P1	
EVA1C	Eva1c
ANKRD26P2	
POU4F1	Pou4f1
	
PSMD10P3	
	
SPATA13	Spata13
COLEC12	Colec12
EXOSC3P1	
	
RNA5SP490	
CFAP298	Cfap298
TWSG1-DT	
LINC01892	
ARHGAP28-AS1	
	
	
LINC01928	
	
SLC25A3P3	
	
	
	
LINC00526	
PPIAP14	
	
	
IMPA2	Impa2
OR7E23P	
	
CFAP298-TCP10L	
	
	
OGFOD1P1	
	
NHLRC3	Nhlrc3
	
	
COP1P1	
	
	
RAB31	Rab31
LINC02338	
OLFM4	Olfm4
TCP10L	Tcp10c
TCP10L	Tcp10b
TCP10L	Tcp10a
ARF4P3	
LIN28AP2	
CCT5P2	
PRR20A	
LINC01078	
IPO5	Ipo5
UBE2CP2	
LINC00470	
SMIM34	
BTG3	Btg3
SUMO3	
MRPL39	Mrpl39
	
	
	
ZNF415P1	
	
	
	
COX6CP3	
	
	
	
	
	
	
LINC01254	
	
YES1	Yes1
SAMSN1	Samsn1
	
	
RPS4XP18	
	
	
PPIAP57	
BRD7P1	
	
	
RN7SKP205	
	
	
PPP4R1-AS1	
	
BOD1P2	
LINC00596	
	
DHRS4-AS1	
	
	
	
SMIM11	Smim11
	
MIR3649	
ADIPOR2	
DHRS4L1	
CARMIL3	
	
	
SNRPFP3	
KLHL14	Klhl14
	
	
DIAPH3	Diaph3
RPS4XP14	
CACNA2D4	
	
	
	
	
	
LINC01478	
SIM2	Sim2
CPNE6	
	
HLCS-IT1	
RNA5SP491	
DPRXP5	
HLCS-AS1	
LINC01543	
Y_RNA	
MRPL20P1	
	
RIPPLY3	Ripply3
	
BNIP3P3	
	
	
	
RNU6-696P	
	
PGDP1	
RRP1B	Rrp1b
	
AQP4-AS1	
	
PDXK	Pdxk
NDUFV2	Ndufv2
EI24P3	
	
ZKSCAN7	
NRL	
PCK2	
MPPE1	Mppe1
ZKSCAN7-AS1	
ZNF660	
MPRIPP1	
ZNF197	
ZNF197-AS1	
ZNF35	
	
TMEM97P1	
RRP1	Rrp1
DCAF11	
	
SOCS5P3	
ZNF502	
	
ZNF501	
SRSF1P1	
RPS26P47	
PCDH17	Pcdh17
KIAA1143	
SP3P	
RPL21P110	
LINC00440	
KIF15	
RPS12P24	
LINC01050	
HIGD1AP2	
TXNL1P1	
	
HNRNPA1P31	
	
LINC00446	
AATBC	
	
MYL6P1	
AGPAT3	Agpat3
WBP4	Wbp4
LINC02342	
	
